lower bound for relaxed s_ij: 129766.36

#####################################################

solved with: SP.mip_formulations.BinPackingFormulation
time limit: 900 s
time to solve: 903,69 s (time limit exceeded)
objective value: 221201.86 (not optimal)

stacks (top to bottom):
stack 237:    145 146 
stack 238:    454 456 
stack 239:    143 144 
stack 240:    475 473 
stack 241:    380 381 
stack 242:    177 179 
stack 243:    212 214 
stack 244:    205 206 
stack 245:    141 142 
stack 246:    384 385 
stack 247:    166 167 
stack 248:    127 126 
stack 249:    123 122 
stack 250:    370 368 
stack 251:    436 434 
stack 252:    176 175 
stack 253:    371 369 
stack 254:    150 151 
stack 255:    401 400 
stack 256:    215 213 
stack 257:    155 153 
stack 258:    466 467 
stack 259:    125 124 
stack 260:    194 191 
stack 261:    446 444 
stack 262:    136 134 
stack 263:    496 497 
stack 264:    185 183 
stack 265:    452 453 
stack 266:    204 202 
stack 267:    451 450 
stack 268:    414 412 
stack 269:    230 231 
stack 270:    164 165 
stack 271:    458 459 
stack 272:    486 484 
stack 273:    207 203 
stack 274:    397 399 
stack 275:    464 462 
stack 276:    171 169 
stack 277:    234 235 
stack 278:    157 156 
stack 279:    487 488 
stack 280:    493 492 
stack 281:    426 427 
stack 282:    223 222 
stack 283:    429 428 
stack 284:    430 433 
stack 285:    243 242 
stack 286:    495 494 
stack 287:    470 472 
stack 288:    435 440 
stack 289:    247 246 
stack 290:    498 499 
stack 291:    404 402 
stack 292:    405 403 
stack 293:    154 152 
stack 294:    188 189 
stack 295:    422 423 
stack 296:    232 233 
stack 297:    197 198 
stack 298:    196 193 
stack 299:    187 180 
