instance,mip,time,val
20_8_4_1,3Idx,0.02,15.00
10_4_4_2,BinP,0.00,15.00
10_4_4_2,3Idx,0.01,15.00
100_38_4_3,BinP,0.04,1.00
100_38_4_3,3Idx,1.00,1.00
170_64_4_5,BinP,0.38,0.00
170_64_4_5,3Idx,11.13,0.00
190_72_4_0,BinP,0.90,0.00
190_72_4_0,3Idx,11.73,0.00
120_45_4_3,BinP,0.09,0.00
120_45_4_3,3Idx,3.17,0.00
20_8_4_5,BinP,0.00,14.00
20_8_4_5,3Idx,0.02,14.00
140_53_4_3,BinP,0.06,1.00
140_53_4_3,3Idx,4.94,1.00
40_15_4_8,BinP,0.12,18.00
40_15_4_8,3Idx,1.54,18.00
120_45_4_9,BinP,0.04,1.00
120_45_4_9,3Idx,2.66,1.00
180_68_4_9,BinP,0.46,0.00
180_68_4_9,3Idx,12.24,0.00
40_15_4_6,BinP,0.07,19.00
40_15_4_6,3Idx,1.41,19.00
110_42_4_9,BinP,0.07,0.00
110_42_4_9,3Idx,2.10,0.00
190_72_4_7,BinP,0.76,0.00
190_72_4_7,3Idx,14.07,0.00
110_42_4_0,BinP,0.07,2.00
110_42_4_0,3Idx,2.73,2.00
110_42_4_5,BinP,0.13,1.00
110_42_4_5,3Idx,2.26,1.00
80_30_4_7,BinP,0.10,8.00
80_30_4_7,3Idx,1.66,8.00
200_75_4_6,BinP,4.96,0.00
200_75_4_6,3Idx,14.18,0.00
160_60_4_5,BinP,0.29,0.00
160_60_4_5,3Idx,7.25,0.00
80_30_4_2,BinP,0.05,5.00
80_30_4_2,3Idx,0.79,5.00
50_19_4_6,BinP,0.05,8.00
50_19_4_6,3Idx,0.17,8.00
190_72_4_3,BinP,0.94,0.00
190_72_4_3,3Idx,12.22,0.00
100_38_4_2,BinP,0.06,2.00
100_38_4_2,3Idx,1.47,2.00
140_53_4_0,BinP,0.14,0.00
140_53_4_0,3Idx,5.17,0.00
90_34_4_0,BinP,0.10,3.00
90_34_4_0,3Idx,1.06,3.00
50_19_4_1,BinP,0.02,13.00
50_19_4_1,3Idx,0.22,13.00
